RecordID,Input,Instruction,Move,dir,amount,RopePiece,x,y
2150,U 4,743,2,U,4,H,67,45
3217,U 9,979,4,U,9,T,12,14
5773,U 6,1650,1,U,6,H,102,39
4035,R 5,1164,1,R,5,T,29,38
6118,R 7,1765,1,R,7,H,144,56
13,R 2,9,1,R,2,T,1,-2
6178,D 2,1786,1,D,2,T,142,73
6399,U 3,1862,1,U,3,H,131,72
3218,U 9,979,5,U,9,T,12,15
3499,R 6,1038,1,R,6,H,19,40
4701,U 9,1357,1,U,9,T,57,49
584,R 3,308,1,R,3,H,16,24
1231,D 5,510,4,D,5,H,15,20
3894,R 4,1128,3,R,4,T,25,44
1277,R 2,525,1,R,2,T,25,19
5949,D 7,1715,1,D,7,H,122,53
4299,U 4,1232,4,U,4,H,66,79
4586,L 9,1323,7,L,9,T,72,47
2243,R 7,765,6,R,7,T,51,49
2647,D 5,853,3,D,5,H,17,36
4821,R 8,1383,7,R,8,T,67,69
3585,L 6,1060,2,L,6,H,13,34
3583,U 5,1059,5,U,5,T,15,33
4713,R 9,1358,4,R,9,H,62,57
3084,D 4,942,3,D,4,H,5,25
472,R 4,262,1,R,4,H,8,24
3825,R 6,1109,3,R,6,H,29,44
20,L 1,14,1,L,1,T,2,-1
6734,R 4,1994,2,R,4,T,139,102
1405,L 5,561,4,L,5,T,22,36
6273,U 2,1826,1,U,2,H,142,75
1697,L 6,639,5,L,6,H,48,53
3136,D 1,956,1,D,1,H,13,21
3937,D 11,1138,1,D,1,H,29,32
5550,R 1,1580,1,R,1,H,87,73
2783,R 5,878,2,R,5,T,32,28
1907,D 6,690,3,D,6,H,61,62
4684,U 7,1350,2,U,7,T,56,44
4167,U 10,1196,1,U,1,T,54,53
4359,R 13,1253,1,R,1,H,69,64
2652,L 4,854,3,L,4,T,15,34
985,D 4,447,3,D,4,H,3,36
6326,U 11,1841,1,U,1,T,140,62
4003,L 7,1156,6,L,7,H,31,36
5188,U 3,1473,2,U,3,H,97,53
5247,R 9,1493,6,R,9,H,105,60
743,D 5,366,3,D,5,H,21,20
3250,R 9,987,3,R,9,H,20,18
2006,R 8,709,5,R,8,T,58,57
5000,R 9,1423,6,R,9,H,57,63
934,D 5,433,5,D,5,T,21,30
5247,R 9,1493,6,R,9,T,104,60
5337,L 6,1518,1,L,6,T,106,61
1759,D 4,653,1,D,4,T,51,52
3890,L 3,1127,2,L,3,T,25,44
4815,R 8,1383,1,R,8,T,62,69
5652,U 6,1605,1,U,6,H,89,61
6071,L 9,1749,1,L,9,H,155,42
5738,R 6,1641,1,R,6,H,107,55
4679,D 4,1348,2,D,4,H,56,45
1225,U 5,509,3,U,5,T,15,21
4655,L 4,1340,3,L,4,H,54,55
6344,U 9,1849,3,U,9,H,132,66
3130,U 1,954,1,U,1,T,19,21
1563,R 7,605,1,R,7,T,20,33
6433,R 18,1878,1,R,1,H,128,89
2954,D 6,915,5,D,6,H,26,-4
4609,R 11,1328,1,R,1,T,70,45
5032,L 6,1431,1,L,6,T,71,59
1257,U 4,519,4,U,4,H,21,22
2661,R 7,857,3,R,7,H,17,38
3981,D 6,1151,5,D,6,T,29,35
2702,R 4,864,2,R,4,T,24,29
6743,D 3,1999,3,D,3,T,141,101
5241,L 3,1492,3,L,3,T,100,60
1347,L 2,544,2,L,2,T,28,36
176,L 3,120,1,L,3,H,3,21
409,L 4,235,4,L,4,T,1,17
1767,U 5,655,4,U,5,H,53,52
492,U 3,268,3,U,3,H,13,25
5922,R 4,1706,1,R,4,H,112,54
765,R 5,372,2,R,5,H,21,16
6582,R 7,1934,3,R,7,T,136,85
2263,L 6,770,3,L,6,T,48,44
4513,R 2,1303,1,R,2,H,73,48
2905,L 4,904,1,L,4,H,32,7
1985,U 8,704,8,U,8,H,54,57
3281,U 7,994,1,U,7,T,36,23
2358,D 8,787,6,D,8,T,29,28
2888,L 7,899,6,L,7,H,34,6
1252,R 2,517,2,R,2,T,20,19
3082,D 4,942,1,D,4,T,6,28
5593,U 9,1590,3,U,9,T,95,61
1735,U 5,648,5,U,5,H,45,54
6490,D 6,1899,2,D,6,T,139,78
